Neighborhood,Murders 2014,Murders 2013,Murders 2012,Murders 2011,Murders 2010,Murders 2009,Murders 2008,latitude,longitude
South Chicago,14,11,14,5,15,17,16,41.7421605,-87.5511776
Grand Crossing,12,16,24,23,15,17,33,41.7623109,-87.5958852
Woodlawn,5,7,20,12,8,10,7,41.7804946,-87.5962842
Hyde Park,4,2,1,2,0,1,1,41.7947748,-87.5904209
South Shore,16,30,21,17,18,18,25,41.7588862,-87.576203
Washington Park,3,4,13,10,9,4,9,41.7946825,-87.6209572
Grand Boulevard,10,7,8,7,9,13,8,41.8129916,-87.6190713
Fuller Park,1,0,0,2,1,1,1,41.809075,-87.6325616
Englewood,21,24,19,28,16,22,22,41.7798449,-87.6444037
New City,15,15,22,16,13,12,15,41.8087215,-87.6599931
Oakland,0,0,1,2,2,1,0,41.8240886,-87.602489
Avalon Park,1,6,0,3,6,1,2,41.747782,-87.5921622
Gage Park,4,9,6,9,9,6,8,41.7954677,-87.696343
Chicago Lawn,19,9,22,17,16,16,19,41.7718437,-87.6956
Brighton Park,2,3,7,10,7,7,6,41.8200133,-87.6994589
